PROCEDIMENTO,RN (ALTERACAO),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
CATETERIZAÇÃO CARDÍACA E POR VIA TRANSEPTAL,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EMBOLOTERAPIA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESTUDO ELETROFISIOLÓGICO CARDÍACO COM OU SEM AÇÃO FARMACOLÓGICA,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FECHAMENTO DO APÊNDICE ATRIAL ESQUERDO (PERCUTÂNEO) - COM DIRETRIZ DE UTILIZAÇÃO,606/2024,01/07/2024,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,166,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MAPEAMENTO ELETROFISIOLÓGICO CARDÍACO CONVENCIONAL,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MAPEAMENTO ELETROANATÔMICO CARDÍACO TRIDIMENSIONAL (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,PAC,53,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESTUDO HEMODINÂMICO DAS CARDIOPATIAS CONGÊNITAS EM CRIANÇAS,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESTUDO ULTRASSONOGRÁFICO INTRAVASCULAR,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE DE MARCA-PASSO PROVISÓRIO OU COLOCAÇÃO DE CATETER INTRACAVITÁRIO PARA MONITORIZAÇÃO HEMODINÂMICA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE DE PRÓTESE INTRAVASCULAR NA AORTA/PULMONAR OU RAMOS COM OU SEM ANGIOPLASTIA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE DE STENT CORONÁRIO COM OU SEM ANGIOPLASTIA POR BALÃO CONCOMITANTE,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INFUSÃO SELETIVA INTRAVASCULAR DE ENZIMAS TROMBOLÍTICAS,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE TRANSCATETER DE PRÓTESE VALVAR AÓRTICA (TAVI) - COM DIRETRIZ DE UTILIZAÇÃO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,143,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCEDIMENTO,RN (alteração),VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
"MAPEAMENTO DE FEIXES ANÔMALOS E FOCOS ECTÓPICOS POR ELETROFISIOLOGIA INTRACAVITÁRIA, COM PROVAS",SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OCLUSÃO PERCUTÂNEA DE SHUNTS INTRACARDÍACOS,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OCLUSÃO PERCUTÂNEA DE FÍSTULA E/OU CONEXÕES SISTÊMICO PULMONARES,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
OCLUSÃO PERCUTÂNEA DO CANAL ARTERIAL,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"PROCEDIMENTO TERAPÊUTICO NAS CARDIOPATIAS CONGÊNITAS, EXCETO ATRIOSSEPTOSTOMIA",SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECANALIZAÇÃO ARTERIAL NO IAM - ANGIOPLASTIA PRIMÁRIA - COM IMPLANTE DE STENT COM OU SEM SUPORTE CIRCULATÓRIO (BALÃO INTRA-AÓRTICO),SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECANALIZAÇÃO MECÂNICA DO IAM POR ANGIOPLASTIA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA PERCUTÂNEA DE CORPOS ESTRANHOS VASCULARES,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO PERCUTÂNEO DO ANEURISMA/DISSECÇÃO DA AORTA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
VALVOPLASTIA PERCUTÂNEA POR VIA ARTERIAL OU VENOSA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
VALVOPLASTIA PERCUTÂNEA POR VIA TRANSEPTAL,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,PAC,SEM VALOR,HEMODINÂMICA - CARDIOLOGIA INTERVENCIONISTA (PROCEDIMENTOS DIAGNÓSTICOS/TERAPÊUTICOS),SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DISSECÇÃO DE VEIA PARA IMPLANTAÇÃO DE CATETER CENTRAL DE LONGA PERMANÊNCIA PARA NUTRIÇÃO PARENTERAL PROLONGADA (NPP) OU QUIMIOTERAPIA (QT),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,ACESSOS VASCULARES,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INSTALAÇÃO E MANUTENÇÃO DE CIRCUITO PARA ASSISTÊNCIA MECÂNICA CIRCULATÓRIA PROLONGADA (TORACOTOMIA),SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ACESSOS VASCULARES,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INSTALAÇÃO E MANUTENÇÃO DE DISPOSITIVO DE ASSISTÊNCIA VENTRICULAR ESQUERDA (DAVE) POR TORACOTOMIA (COM DIRETRIZ DE UTILIZAÇÃO),627/2025,17/02/2025,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,171,ACESSOS VASCULARES,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INSTALAÇÃO DE CATETER PARA MONITORIZAÇÃO HEMODINÂMICA À BEIRA DO LEITO (SWAN-GANZ),SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ACESSOS VASCULARES,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INSTALAÇÃO DE CATETERES INTRACAVITÁRIOS PARA MONITORIZAÇÃO HEMODINÂMICA TEMPORÁRIA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ACESSOS VASCULARES,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO VENOSA PROFUNDA OU DISSECÇÃO DE VEIA PARA COLOCAÇÃO CATETER,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,ACESSOS VASCULARES,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ANASTOMOSE LINFOVENOSA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,CIRURGIA LINFÁTICA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DOENCA DE HODGKIN - ESTADIAMENTO CIRÚRGICO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,CIRURGIA LINFÁTICA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCEDIMENTO,RN (alteração),VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
HIGROMA CÍSTICO - TRATAMENTO CIRÚRGICO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,CIRURGIA LINFÁTICA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LINFADENECTOMIA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,CIRURGIA LINFÁTICA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LINFADENECTOMIA PÉLVICA LAPAROSCÓPICA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,CIRURGIA LINFÁTICA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LINFADENECTOMIA RETROPERITONEAL LAPAROSCÓPICA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,CIRURGIA LINFÁTICA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LINFANGIOPLASTIA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,CIRURGIA LINFÁTICA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
LINFEDEMA - TRATAMENTO CIRÚRGICO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,CIRURGIA LINFÁTICA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MARSUPIALIZAÇÃO DE LINFOCELE,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,CIRURGIA LINFÁTICA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MARSUPIALIZAÇÃO LAPAROSCÓPICA DE LINFOCELE,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,CIRURGIA LINFÁTICA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PUNÇÃO BIÓPSIA GANGLIONAR,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,CIRURGIA LINFÁTICA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CORREÇÃO CIRÚRGICA DAS ARRITMIAS,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,PERICÁRDIO,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DRENAGEM DO PERICÁRDIO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,PERICÁRDIO,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DRENAGEM DO PERICÁRDIO POR VÍDEO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,PERICÁRDIO,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PERICARDIOCENTESE,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,PERICÁRDIO,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PERICARDIOTOMIA / PERICARDIECTOMIA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,PERICÁRDIO,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PERICARDIOTOMIA / PERICARDIECTOMIA POR VÍDEO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,PERICÁRDIO,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
HIPOTERMIA PROFUNDA COM OU SEM PARADA CIRCULATÓRIA TOTAL,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,HIPOTERMIA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DO MIOCÁRDIO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,MIOCÁRDIO,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"CARDIOTOMIA (FERIMENTO, CORPO ESTRANHO, EXPLORAÇÃO)",SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,MIOCÁRDIO,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA DE TUMORES INTRACARDÍACOS,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,MIOCÁRDIO,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCEDIMENTO,RN (alteração),VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
AUTOTRANSPLANTE COM MICROCIRURGIA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
DISSECÇÃO DO ESÔFAGO TORÁCICO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESOFAGECTOMIA DISTAL COM OU SEM TORACOTOMIA/ COM OU SEM LINFADENECTOMIA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"ESOFAGOPLASTIA (COLOPLASTIA, GASTROPLASTIA)",SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESOFAGORRAFIA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESOFAGORRAFIA TORÁCICA POR VIDEOTORACOSCOPIA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESOFAGOSTOMIA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESTENOSE DE ESÔFAGO - TRATAMENTO CIRÚRGICO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FARINGO-LARINGO-ESOFAGECTOMIA TOTAL COM OU SEM TORACOTOMIA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FÍSTULA TRÁQUEO ESOFÁGICA - TRATAMENTO CIRÚRGICO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RECONSTRUÇÃO DO ESÔFAGO COM TRANSPLANTE DE INTESTINO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REFLUXO GASTROESOFÁGICO - TRATAMENTO CIRÚRGICO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REFLUXO GASTROESOFÁGICO - TRATAMENTO CIRÚRGICO POR VIDEOLAPAROSCOPIA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REINTERVENÇÃO SOBRE A TRANSIÇÃO ESÔFAGO GÁSTRICA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REINTERVENÇÃO SOBRE A TRANSIÇÃO ESÔFAGO GÁSTRICA POR VIDEOLAPAROSCOPIA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DO ESÔFAGO CERVICAL E/OU TORÁCICO E TRANSPLANTE COM MICROCIRURGIA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
SUBSTITUIÇÃO ESOFÁGICA - CÓLON OU TUBO GÁSTRICO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA ATRESIA DE ESÔFAGO COM OU SEM FÍSTULA TRAQUEAL,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DAS VARIZES ESOFÁGICAS,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PROCEDIMENTO,RN (alteração),VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
TRATAMENTO CIRÚRGICO DO DIVERTÍCULO ESOFÁGICO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DO DIVERTÍCULO FARINGOESOFÁGICO,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,ESÔFAGO,SISTEMA DIGESTIVO E ANEXOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
